Scenario,Strategy,ReserveSize,Iteration,AvDensity,LogRatCorals,WVTraitSp1,WVTraitSp2,Ext1,Ext2,ExtBoth,V,D
4,2,0,1,2.01E-06,-5.986495632,-3.356741716,-2.71952845,1,326,326,0,0.001
4,2,0.1,1,0.000401995,-5.986495632,-0.842556676,-0.834666534,1,NA,NA,0,0.001
4,2,0.2,1,0.000401998,-5.986495632,-0.842560884,-0.834670777,1,NA,NA,0,0.001
4,2,0.3,1,0.000401999,-5.986495632,-0.842562595,-0.834672502,1,NA,NA,0,0.001
4,2,0.5,1,0.000401999,-5.986495632,-0.842562604,-0.834672502,1,NA,NA,0,0.001
4,3,0,1,2.01E-06,-5.986495146,-3.356741716,-2.71952845,1,326,326,0,0.001
4,3,0.1,1,0.000400458,-5.986495146,-0.842033666,-0.834112278,1,NA,NA,0,0.001
4,3,0.2,1,0.000401995,-5.986495146,-0.842556676,-0.834666534,1,NA,NA,0,0.001
4,3,0.3,1,0.000401997,-5.986495146,-0.842558508,-0.834668395,1,NA,NA,0,0.001
4,3,0.5,1,0.000401999,-5.986495146,-0.842562517,-0.834672426,1,NA,NA,0,0.001
4,4,0,1,2.01E-06,-5.986495632,-3.356741716,-2.71952845,1,326,326,0,0.001
4,4,0.1,1,4.29E-05,-5.986495632,-0.988489128,-0.916546928,1,NA,NA,0,0.001
4,4,0.2,1,0.000386127,-5.986495632,-0.839082948,-0.830859866,1,NA,NA,0,0.001
4,4,0.3,1,0.00040046,-5.986495632,-0.842038351,-0.834116964,1,NA,NA,0,0.001
4,4,0.5,1,0.000401999,-5.986495632,-0.842562604,-0.834672502,1,NA,NA,0,0.001
4,5,0,1,2.01E-06,0.000298147,-3.356741716,-2.71952845,1,326,326,0,0.001
4,5,0.1,1,2.01E-06,0.000298147,-3.356741716,-2.71952845,1,326,326,0,0.001
4,5,0.2,1,2.01E-06,0.000298147,-3.356741716,-2.71952845,1,326,326,0,0.001
4,5,0.3,1,2.01E-06,0.000298147,-3.356741716,-2.71952845,1,326,326,0,0.001
4,5,0.5,1,2.01E-06,0.000298147,-3.35674285,-2.719530339,1,326,326,0,0.001
4,6,0,1,2.01E-06,-5.685849467,-3.356741716,-2.71952845,1,326,326,0,0.001
4,6,0.1,1,0.000293669,-5.685849467,-0.830331622,-0.819482244,1,NA,NA,0,0.001
4,6,0.2,1,0.000293669,-5.685849467,-0.830332201,-0.819482812,1,NA,NA,0,0.001
4,6,0.3,1,0.000293752,-5.685849467,-0.830377386,-0.81953058,1,NA,NA,0,0.001
4,6,0.5,1,0.000297566,-5.685849467,-0.831740624,-0.821037111,1,NA,NA,0,0.001
4,7,0,1,2.01E-06,-5.98646874,-3.356741716,-2.71952845,1,326,326,0,0.001
4,7,0.1,1,2.01E-06,-5.98646874,-3.356741716,-2.71952845,1,326,326,0,0.001
4,7,0.2,1,2.01E-06,-5.98646874,-3.356742605,-2.719530053,1,326,326,0,0.001
4,7,0.3,1,4.29E-05,-5.98646874,-0.988479335,-0.916535707,1,NA,NA,0,0.001
4,7,0.5,1,0.000401988,-5.98646874,-0.842553253,-0.834662947,1,NA,NA,0,0.001
4,8,0,1,2.01E-06,-0.008126,-3.356741716,-2.71952845,1,326,326,0,0.001
4,8,0.1,1,2.01E-06,-0.008126,-3.356741716,-2.71952845,1,326,326,0,0.001
4,8,0.2,1,2.01E-06,-0.008126,-3.356741716,-2.71952845,1,326,326,0,0.001
4,8,0.3,1,2.01E-06,-0.008126,-3.356742677,-2.719530197,1,326,326,0,0.001
4,8,0.5,1,2.02E-06,-0.008126,-3.352648748,-2.71659093,1,332,332,0,0.001
4,9,0,1,2.01E-06,-3.736431233,-3.356741716,-2.71952845,1,326,326,0,0.001
4,9,0.1,1,2.21E-06,-3.736431233,-3.146359222,-2.443388377,1,340,340,0,0.001
4,9,0.2,1,4.29E-05,-3.736431233,-0.988493387,-0.916551117,1,NA,NA,0,0.001
4,9,0.3,1,2.01E-06,-3.736431233,-3.356282466,-2.718894215,1,326,326,0,0.001
4,9,0.5,1,4.31E-05,-3.736431233,-0.988408389,-0.916825494,1,NA,NA,0,0.001
5,1,0,1,0.002814834,1.030014434,0.580990239,0.39290281,270,NA,NA,0.1,0.001
5,1,0.1,1,0.097804145,1.030014434,1.11474478,0.392893734,NA,NA,NA,0.1,0.001
5,1,0.2,1,0.187861458,1.030014434,1.145205164,0.392101715,NA,NA,NA,0.1,0.001
5,1,0.3,1,0.267849879,1.030014434,1.088424702,0.27262035,NA,NA,NA,0.1,0.001
5,1,0.5,1,0.422097999,1.030014434,0.926174078,0.258675896,NA,NA,NA,0.1,0.001
5,2,0,1,0.002814834,-6.040981556,0.580990239,0.39290281,270,NA,NA,0.1,0.001
5,2,0.1,1,0.07406028,-6.040981556,0.307992896,0.300249869,270,NA,NA,0.1,0.001
5,2,0.2,1,0.145431459,-6.040981556,0.295631245,0.291631852,270,NA,NA,0.1,0.001
5,2,0.3,1,0.216130396,-6.040981556,0.285849003,0.283116654,270,NA,NA,0.1,0.001
5,2,0.5,1,0.356924995,-6.040981556,0.269996681,0.267657348,270,NA,NA,0.1,0.001
5,3,0,1,0.002814834,0.087938565,0.580990239,0.39290281,270,NA,NA,0.1,0.001
5,3,0.1,1,0.089373677,0.087938565,0.775268839,0.306088139,NA,NA,NA,0.1,0.001
5,3,0.2,1,0.16904853,0.087938565,0.77020016,0.300249392,NA,NA,NA,0.1,0.001
5,3,0.3,1,0.25099771,0.087938565,0.775399371,0.29327988,NA,NA,NA,0.1,0.001
5,3,0.5,1,0.402363419,0.087938565,0.740453115,0.285982093,NA,NA,NA,0.1,0.001
5,4,0,1,0.002814834,-0.388452007,0.580990239,0.39290281,270,NA,NA,0.1,0.001
5,4,0.1,1,0.129887127,-0.388452007,0.95990282,0.264622683,NA,NA,NA,0.1,0.001
5,4,0.2,1,0.209677399,-0.388452007,0.733713251,0.269830764,NA,NA,NA,0.1,0.001
5,4,0.3,1,0.290652068,-0.388452007,0.616272838,0.2671534,NA,NA,NA,0.1,0.001
5,4,0.5,1,0.487764022,-0.388452007,0.628287004,0.267316117,NA,NA,NA,0.1,0.001
5,5,0,1,0.002814834,0.04300748,0.580990239,0.39290281,270,NA,NA,0.1,0.001
5,5,0.1,1,0.121132728,0.04300748,0.870250417,0.26522207,NA,NA,NA,0.1,0.001
5,5,0.2,1,0.209538758,0.04300748,0.708730164,0.257205566,NA,NA,NA,0.1,0.001
5,5,0.3,1,0.333249961,0.04300748,0.765200939,0.2562225,NA,NA,NA,0.1,0.001
5,5,0.5,1,0.499364903,0.04300748,0.723251638,0.259792527,NA,NA,NA,0.1,0.001
5,6,0,1,0.002814834,-0.124836088,0.580990239,0.39290281,270,NA,NA,0.1,0.001
5,6,0.1,1,0.109150536,-0.124836088,0.675211253,0.279876752,NA,NA,NA,0.1,0.001
5,6,0.2,1,0.253238302,-0.124836088,0.81163616,0.269458062,NA,NA,NA,0.1,0.001
5,6,0.3,1,0.342703751,-0.124836088,0.685244271,0.264884896,NA,NA,NA,0.1,0.001
5,6,0.5,1,0.528472263,-0.124836088,0.687529167,0.266680645,NA,NA,NA,0.1,0.001
5,7,0,1,0.002814834,-1.289042867,0.580990239,0.39290281,270,NA,NA,0.1,0.001
