Scenario,c.V,c.D,c.w,c.Rmax,c.m,s.V,s.D,s.w,s.Rmax,s.m,m.V,m.D,m.w,m.Rmax,m.m,iter
3,0.4,0,1.5,1.5,0.1,0.4,0,4.5,1.5,0.1,0,0,2,1,0.3,16
4,0,0.001,1.5,1.5,0.1,0,0.001,4.5,1.5,0.1,0,0,2,1,0.3,16
5,0.1,0.001,1.5,1.5,0.1,0.1,0.001,4.5,1.5,0.1,0,0,2,1,0.3,16
6,0.4,0.001,1.5,1.5,0.1,0.4,0.001,4.5,1.5,0.1,0,0,2,1,0.3,16
7,0,0.01,1.5,1.5,0.1,0,0.01,4.5,1.5,0.1,0,0,2,1,0.3,16
8,0.1,0.01,1.5,1.5,0.1,0.1,0.01,4.5,1.5,0.1,0,0,2,1,0.3,16
9,0.4,0.01,1.5,1.5,0.1,0.4,0.01,4.5,1.5,0.1,0,0,2,1,0.3,16
1,0,0,1.5,1.5,0.1,0,0,4.5,1.5,0.1,0,0,2,1,0.3,17
2,0.1,0,1.5,1.5,0.1,0.1,0,4.5,1.5,0.1,0,0,2,1,0.3,17
3,0.4,0,1.5,1.5,0.1,0.4,0,4.5,1.5,0.1,0,0,2,1,0.3,17
4,0,0.001,1.5,1.5,0.1,0,0.001,4.5,1.5,0.1,0,0,2,1,0.3,17
5,0.1,0.001,1.5,1.5,0.1,0.1,0.001,4.5,1.5,0.1,0,0,2,1,0.3,17
6,0.4,0.001,1.5,1.5,0.1,0.4,0.001,4.5,1.5,0.1,0,0,2,1,0.3,17
7,0,0.01,1.5,1.5,0.1,0,0.01,4.5,1.5,0.1,0,0,2,1,0.3,17
8,0.1,0.01,1.5,1.5,0.1,0.1,0.01,4.5,1.5,0.1,0,0,2,1,0.3,17
9,0.4,0.01,1.5,1.5,0.1,0.4,0.01,4.5,1.5,0.1,0,0,2,1,0.3,17
1,0,0,1.5,1.5,0.1,0,0,4.5,1.5,0.1,0,0,2,1,0.3,18
2,0.1,0,1.5,1.5,0.1,0.1,0,4.5,1.5,0.1,0,0,2,1,0.3,18
3,0.4,0,1.5,1.5,0.1,0.4,0,4.5,1.5,0.1,0,0,2,1,0.3,18
4,0,0.001,1.5,1.5,0.1,0,0.001,4.5,1.5,0.1,0,0,2,1,0.3,18
5,0.1,0.001,1.5,1.5,0.1,0.1,0.001,4.5,1.5,0.1,0,0,2,1,0.3,18
6,0.4,0.001,1.5,1.5,0.1,0.4,0.001,4.5,1.5,0.1,0,0,2,1,0.3,18
7,0,0.01,1.5,1.5,0.1,0,0.01,4.5,1.5,0.1,0,0,2,1,0.3,18
8,0.1,0.01,1.5,1.5,0.1,0.1,0.01,4.5,1.5,0.1,0,0,2,1,0.3,18
9,0.4,0.01,1.5,1.5,0.1,0.4,0.01,4.5,1.5,0.1,0,0,2,1,0.3,18
1,0,0,1.5,1.5,0.1,0,0,4.5,1.5,0.1,0,0,2,1,0.3,19
2,0.1,0,1.5,1.5,0.1,0.1,0,4.5,1.5,0.1,0,0,2,1,0.3,19
3,0.4,0,1.5,1.5,0.1,0.4,0,4.5,1.5,0.1,0,0,2,1,0.3,19
4,0,0.001,1.5,1.5,0.1,0,0.001,4.5,1.5,0.1,0,0,2,1,0.3,19
5,0.1,0.001,1.5,1.5,0.1,0.1,0.001,4.5,1.5,0.1,0,0,2,1,0.3,19
6,0.4,0.001,1.5,1.5,0.1,0.4,0.001,4.5,1.5,0.1,0,0,2,1,0.3,19
7,0,0.01,1.5,1.5,0.1,0,0.01,4.5,1.5,0.1,0,0,2,1,0.3,19
8,0.1,0.01,1.5,1.5,0.1,0.1,0.01,4.5,1.5,0.1,0,0,2,1,0.3,19
9,0.4,0.01,1.5,1.5,0.1,0.4,0.01,4.5,1.5,0.1,0,0,2,1,0.3,19
1,0,0,1.5,1.5,0.1,0,0,4.5,1.5,0.1,0,0,2,1,0.3,20
2,0.1,0,1.5,1.5,0.1,0.1,0,4.5,1.5,0.1,0,0,2,1,0.3,20
3,0.4,0,1.5,1.5,0.1,0.4,0,4.5,1.5,0.1,0,0,2,1,0.3,20
4,0,0.001,1.5,1.5,0.1,0,0.001,4.5,1.5,0.1,0,0,2,1,0.3,20
5,0.1,0.001,1.5,1.5,0.1,0.1,0.001,4.5,1.5,0.1,0,0,2,1,0.3,20
6,0.4,0.001,1.5,1.5,0.1,0.4,0.001,4.5,1.5,0.1,0,0,2,1,0.3,20
7,0,0.01,1.5,1.5,0.1,0,0.01,4.5,1.5,0.1,0,0,2,1,0.3,20
